5

1 5 10
2913 752 14 148
2914 576 18 96
2915 554 20 83
2918 274 19 193
2920 277 8 86
2927 42 9 54
2927 854 9 119
2928 786 10 13
2931 384 18 189
2932 175 14 137
2938 131 12 149
2939 472 18 150
2942 908 20 44
2942 209 10 125
2944 282 20 29
2945 814 15 23
2948 524 7 43
2948 237 7 77
2948 593 10 178
2949 751 15 200
2956 418 16 27
2958 603 18 164
2961 201 7 31
2962 663 19 190
2964 748 12 90
2966 556 20 21
2966 736 11 58
2968 904 7 132
2970 174 16 21
2972 589 12 154
2973 352 9 155
2974 926 8 156
2976 937 11 127
2977 455 7 85
2977 621 9 92
2980 741 12 141
2981 172 19 75
2988 581 19 68
2988 478 16 117
2989 822 11 106
2993 537 20 60
2996 382 8 144
2997 131 11 40
3000 118 9 92
3001 964 15 61
3001 649 7 132
3005 675 19 176
3007 934 6 11
3007 36 14 122
3008 405 9 195
3010 397 13 167
3012 765 12 72
3013 197 11 120
3016 157 6 95
3018 64 7 154
3021 886 7 67
3021 339 13 78
3023 919 6 191
3027 269 7 15
3027 921 14 123
3027 18 13 132
3028 913 15 36
3029 457 8 178
3034 251 15 149
3035 124 9 94
3037 165 11 13
3039 487 20 118
3039 426 19 187
3042 678 11 152
3045 208 11 69
3045 546 10 113
3045 840 18 143
3056 431 8 83
3057 46 17 110
3058 406 16 121
3059 882 6 152
3061 190 7 148
3062 954 18 100
3062 610 18 133
3064 323 12 94
3065 969 11 141
3068 517 12 104
3072 192 18 44
3072 80 7 162
3073 931 6 26
3074 887 18 23
3075 192 7 117
3077 637 7 29
3084 609 16 123
3085 410 15 22
3085 316 13 100
3086 729 12 20
3090 606 13 169
3092 116 9 13
3092 21 12 49
3092 705 9 83
3092 292 20 94
3094 759 19 35
3095 83 20 35
3096 193 6 160
3097 397 19 197
3098 777 12 88
3103 983 8 119
3106 838 13 145
3116 16 13 80
3118 422 6 133
3119 173 9 62
3122 886 6 189
3124 538 20 126
3125 882 9 194
3133 758 10 181
3135 797 12 110
3142 364 10 34
3142 639 7 150
3146 937 14 139
3150 11 19 138
3151 655 19 42
3155 685 10 93
3155 211 13 135
3156 472 8 32
3156 701 17 36
3156 198 18 110
3169 623 20 161
3169 886 14 182
3170 173 13 158
3173 765 8 66
3174 398 7 147
3175 42 13 18
3175 468 16 88
3175 41 7 182
3177 605 8 30
3182 890 6 144
3184 832 9 146
3189 167 19 101
3189 594 18 140
3191 393 20 96
3197 922 15 96
3199 722 20 59
3201 567 14 16
3204 599 20 61
3204 232 11 121
3206 446 19 74
3210 141 17 84
3211 886 6 141
3211 388 12 145
3213 107 7 45
3214 105 17 147
3215 947 6 150
3217 198 7 63
3218 683 12 175
3221 389 18 169
3225 656 16 35
3225 341 8 69
3225 579 7 168
3227 290 15 117
3229 919 13 65
3229 217 16 84
3232 55 6 146
3234 884 6 11
3237 770 7 79
3240 972 19 117
3240 566 7 121
3240 66 16 177
3241 40 15 148
3245 164 9 48
3246 578 15 104
3248 781 17 62
3249 180 9 66
3251 771 12 92
3256 1000 12 53
3257 622 19 93
3258 103 12 78
3261 205 18 194
3268 764 17 198
3270 153 16 168
3271 708 6 112
3274 738 17 113
3274 49 11 118
3275 127 15 66
3277 297 11 116
3277 89 9 192
3279 721 9 14
3281 483 18 180
3284 910 13 171
3287 394 18 48
3287 952 15 85
3288 932 8 135
3289 758 9 115
3291 530 9 58
3291 933 18 72
3291 715 9 98
3293 909 12 63
3293 193 14 169
3293 303 6 187
3299 747 11 110
3300 433 7 150
3301 601 9 115
3301 970 6 193
3303 109 9 112
3304 318 14 48
3307 285 13 128
3311 805 15 143
3312 205 16 147
3314 610 13 127
3318 60 6 77
3318 646 16 110
3320 839 16 32
3321 51 7 149
3322 982 15 87
3326 664 13 167
3328 558 18 86
3329 427 10 134
3331 882 15 44
3332 172 8 181
3334 98 15 58
3336 44 12 137
3337 469 10 185
3339 865 17 122
3339 634 14 176
3340 263 18 147
3346 541 20 111
3347 906 9 77
3352 399 18 177
3352 134 15 198
3354 831 18 70
3355 304 17 178
3365 646 16 129
3366 178 17 122
3368 533 20 48
3369 524 14 42
3369 809 9 91
3369 30 13 113
3371 672 18 47
3374 638 15 101
3375 741 7 87
3377 665 19 162
3379 699 16 127
3380 693 18 124
3381 702 8 197
3382 849 16 192
3383 531 10 141
3384 728 7 84
3384 215 9 103
3388 664 10 138
3388 176 11 158
3391 942 19 19
3391 187 16 86
3393 565 7 49
3393 850 16 152
3394 206 8 156
3396 513 17 123
3396 126 20 151
3398 485 19 150
3399 483 11 20
3399 302 18 52
3400 427 14 184
3406 928 7 114
3408 566 8 27
3409 499 6 131
3411 923 15 26
3411 264 19 185
3414 610 12 39
3414 707 20 189
3415 404 14 197
3419 964 12 31
3419 843 20 147
3420 72 9 144
3421 43 15 120
3422 37 12 103
3423 273 18 192
3424 851 19 110
3425 47 19 67
3427 183 17 104
3431 196 9 66
3437 114 17 35
3438 934 15 50
3439 561 17 189
3440 379 7 114
3443 676 13 47
3448 592 14 85
3449 34 9 133
3450 617 19 154
3452 362 11 53
3453 561 15 125
3456 164 7 14
3456 902 20 171
3457 741 20 131
3458 66 7 199
3460 588 8 43
3461 88 8 52
3464 70 13 166
3465 342 16 82
3469 353 6 90
3472 555 15 79
3474 838 10 111
3475 16 18 110
3482 67 6 54
3483 314 16 86
3484 849 19 134
3487 837 9 48
3488 855 19 97
3489 891 12 47
3489 404 17 113
3492 484 7 58
3496 73 15 43
3496 116 14 149
3496 747 6 172
3498 445 19 133
3501 923 18 47
3501 407 8 51
3502 507 12 115
3503 501 17 181
3505 920 20 173
3509 234 16 78
3510 19 14 152
3511 997 10 67
3513 57 9 38
3514 620 20 41
3516 922 13 183
3517 302 12 164
3521 507 7 122
3522 99 6 61
3524 800 10 22
3528 880 15 52
3528 413 8 54
3534 228 8 51
3536 519 11 96
3537 315 8 63
3537 278 7 86
3537 306 16 199
3540 655 14 86
3543 997 9 65
3543 766 16 139
3544 52 20 157
3545 564 19 194
3557 837 13 113
3558 761 13 54
3560 10 8 167
3562 710 20 68
3564 687 15 170
3565 540 13 58
3568 230 10 159
3570 697 15 59
3570 278 9 87
3571 81 15 59
3574 100 6 80
3577 482 6 193
3579 844 10 198
3583 326 15 82
3584 615 14 108
3587 123 19 20
3587 861 12 52
3587 148 10 167
3589 143 8 14
3591 782 17 70
3591 704 17 109
3592 946 14 51
3594 884 12 64
3600 281 15 177
3602 604 14 22
3603 537 10 112
3604 659 14 94
3605 288 6 125
3608 334 20 169
3611 196 9 123
3612 176 16 140
3614 904 15 27
3618 115 6 191
3619 499 17 127
3619 910 9 142
3625 760 7 29
3630 728 16 131
3630 635 6 145
3635 289 18 190
3638 888 8 132
3642 387 14 178
3642 635 20 191
3643 230 14 139
3643 496 17 190
3645 532 13 78
3645 509 6 118
3646 579 14 69
3646 828 10 102
3648 42 14 48
3651 961 14 150
3651 161 17 180
3652 142 7 30
3657 460 10 172
3658 466 19 50
3661 988 19 26
3661 655 10 130
3662 558 19 92
3666 321 15 140
3666 436 8 192
3667 297 19 63
3669 73 14 193
3672 626 16 73
3672 694 12 174
3673 89 19 27
3679 326 7 87
3680 144 16 139
3681 858 8 89
3684 167 18 59
3689 447 11 150
3689 756 15 166
3690 677 7 133
3693 996 18 99
3694 99 7 25
3697 267 8 112
3699 21 7 39
3699 820 16 90
3699 785 9 104
3702 374 9 40
3703 336 13 141
3707 636 9 154
3708 188 8 42
3714 27 10 140
3716 407 9 28
3717 386 16 127
3719 541 13 144
3724 172 10 123
3725 133 19 86
3727 347 20 34
3727 659 14 74
3728 138 8 108
3728 974 15 180
3730 67 17 86
3732 887 12 186
3733 33 18 22
3733 38 8 89
3733 127 9 156
3736 252 11 117
3739 694 15 36
3742 603 6 184
3746 959 12 122
3749 214 20 144
3754 807 6 181
3760 151 15 195
3761 633 13 135
3771 649 6 111
3772 151 8 144
3773 635 11 19
3775 83 15 38
3775 526 11 66
3775 304 18 121
3775 920 17 124
3776 547 9 100
3781 892 10 28
3781 142 8 29
3781 106 11 31
3781 662 20 141
3782 173 12 42
3783 15 13 126
3784 34 13 199
3785 211 15 193
3786 898 6 108
3793 495 15 83
3793 141 8 176
3795 904 15 27
3795 952 14 136
3796 777 6 122
3797 263 18 49
3797 787 6 63
3800 230 20 146
3802 467 14 174
3805 931 7 95
3809 648 20 129
3810 914 13 67
3815 349 15 76
3816 601 17 153
3823 674 16 157
3825 305 20 93
3825 761 17 130
3826 48 17 79
3826 202 8 128
3827 579 7 27
3827 716 20 165
3833 328 7 27
3834 962 19 34
3836 70 8 137
3841 491 14 92
3844 367 15 97
3848 491 9 82
3848 55 16 118
3849 213 18 78
3850 221 14 17
3851 94 7 131
3852 221 13 65
3852 995 6 86
3853 197 17 79
3858 931 18 112
3860 446 18 60
3861 736 13 129
3862 573 20 120
3877 828 14 81
3880 746 11 24
3882 326 19 112
3883 220 14 78
3886 932 16 45
3887 767 14 92
3903 144 6 70
3906 726 11 76
3912 490 15 80
3915 827 16 36
3925 150 17 61
3938 212 19 26
3942 198 14 46
3954 750 11 36

16 5000 10000
2 928 46 73
5 686 68 295
5 102 47 428
5 366 100 469
6 452 52 207
6 632 96 423
7 188 19 306
8 49 33 132
8 786 31 352
8 370 56 388
9 596 58 411
10 823 75 237
11 658 78 186
12 44 90 424
17 855 25 160
19 610 33 147
19 912 59 248
21 807 78 435
23 575 36 260
24 961 29 30
24 801 46 56
26 126 61 211
29 511 92 367
31 27 91 445
32 67 95 119
33 975 11 81
36 787 50 138
36 800 70 324
38 597 18 318
38 909 55 441
40 580 88 227
43 957 70 289
44 909 81 215
44 139 50 357
47 516 65 97
47 661 85 244
48 352 46 353
56 448 29 167
56 204 41 410
57 118 21 230
58 417 23 255
61 223 30 103
61 943 92 336
62 431 89 419
64 453 69 232
66 642 35 483
67 58 51 243
68 521 81 119
69 700 26 116
75 182 28 163
75 596 29 374
76 646 87 235
77 577 11 278
78 18 76 207
79 334 56 186
79 103 66 418
81 977 22 303
84 311 97 242
84 221 75 494
84 836 47 500
85 834 17 132
89 460 22 99
93 341 16 41
94 64 80 372
95 546 98 297
96 75 62 216
98 558 69 207
98 246 35 329
99 195 76 254
99 419 92 455
100 589 61 231
102 474 94 277
104 628 16 118
111 34 37 86
112 231 83 325
114 867 24 180
115 645 27 251
115 742 84 339
119 856 51 185
119 397 44 250
121 234 72 301
121 550 13 466
124 948 98 259
124 880 76 283
127 256 28 149
128 100 70 202
129 640 21 379
132 632 18 298
132 50 64 384
133 54 20 448
134 644 12 404
134 409 50 436
137 751 63 310
140 98 43 431
140 725 94 462
143 701 10 409
146 432 20 52
152 443 32 325
152 917 62 341
153 214 78 104
155 678 34 170
158 99 72 343
163 954 24 127
169 185 100 419
173 323 80 179
175 676 15 495
177 695 11 128
177 313 40 261
179 184 47 330
180 663 59 143
182 613 33 79
185 132 79 213
188 677 30 360
190 895 28 31
193 683 40 66
193 277 27 128
193 91 65 424
194 274 17 263
194 30 22 424
195 70 93 152
195 829 74 406
197 583 78 250
198 116 11 224
201 789 50 418
203 977 12 440
204 107 43 65
206 811 20 355
212 579 49 341
213 33 85 378
214 274 42 409
218 398 85 404
218 848 88 427
220 626 98 225
220 122 14 476
221 430 44 465
223 640 97 161
225 509 61 86
226 289 93 443
228 631 56 165
229 635 60 210
230 818 51 427
231 672 33 106
232 575 61 156
233 194 99 271
233 772 15 395
234 244 49 150
234 683 75 394
235 947 32 395
235 255 94 397
235 445 57 500
236 396 37 468
237 130 79 429
238 713 24 58
238 207 27 296
240 998 30 334
241 253 40 188
242 779 50 141
244 309 85 412
245 383 35 251
248 806 13 78
249 37 100 404
250 239 53 407
251 812 10 88
255 743 29 324
258 71 31 336
260 426 60 255
263 102 12 462
264 870 29 153
264 734 92 488
268 218 18 74
269 702 64 228
270 794 24 41
271 106 78 297
272 964 92 289
274 598 13 361
276 114 97 407
277 250 56 308
280 426 62 474
281 77 45 59
284 160 67 208
287 868 62 111
288 273 71 323
289 672 71 404
290 93 100 340
292 956 67 117
293 603 76 243
293 168 39 296
294 993 34 356
295 568 74 486
299 642 39 73
302 740 46 280
304 111 70 294
308 34 41 261
309 502 36 55
310 95 37 38
310 136 93 108
311 145 29 52
311 785 67 87
313 639 17 232
313 206 40 244
316 160 55 126
318 954 21 339
319 340 86 319
319 586 16 340
321 604 15 182
321 584 57 194
321 428 98 257
323 435 73 109
324 150 81 225
324 559 11 352
325 474 21 463
326 486 67 188
329 760 23 45
329 56 50 386
329 124 95 449
331 987 55 67
331 576 52 181
335 155 15 276
335 524 37 415
341 837 36 208
345 263 44 84
346 266 90 484
355 586 44 59
360 590 80 486
364 209 15 240
366 876 68 427
368 313 24 250
369 152 23 195
369 509 11 231
372 607 45 458
375 687 31 466
376 126 48 251
377 735 90 248
377 460 89 464
378 793 37 357
379 831 99 487
380 303 88 394
381 844 20 411
384 526 67 461
386 163 18 112
387 40 53 263
388 384 11 248
388 767 76 484
390 220 91 261
390 783 97 470
392 155 72 396
393 782 32 253
394 958 15 143
395 165 80 89
403 781 98 368
404 741 95 325
406 747 90 118
406 388 72 147
407 516 75 360
408 702 64 66
408 299 64 316
409 980 99 143
409 43 83 240
409 896 41 485
412 869 21 425
414 629 99 241
416 42 88 440
421 800 52 53
422 864 78 365
422 497 13 462
426 322 94 208
427 399 33 299
431 437 17 171
434 737 88 246
437 26 47 297
439 155 33 127
440 982 75 279
440 699 63 338
446 87 22 248
446 48 52 350
450 212 24 462
452 62 99 480
453 316 40 202
454 974 27 387
455 685 32 283
456 671 16 187
456 678 82 353
457 554 45 192
460 981 40 162
461 917 91 191
463 533 25 109
464 674 56 341
464 418 40 473
468 241 100 169
469 631 34 60
469 268 83 129
470 493 49 411
472 79 30 317
473 723 31 190
473 627 58 422
475 155 99 137
476 304 72 285
477 440 58 220
478 509 89 485
479 796 26 167
485 609 34 262
487 885 53 99
496 342 18 479
497 98 36 442
499 355 64 450
500 70 31 387
503 588 45 111
503 954 98 118
503 799 34 272
507 349 96 351
508 797 22 233
509 733 13 91
509 602 42 256
512 231 84 209
514 504 69 105
515 73 73 122
518 980 93 237
519 956 87 403
519 966 58 464
519 772 70 476
523 498 25 455
525 461 32 94
530 861 48 136
530 399 36 337
533 725 67 413
534 11 35 373
537 428 34 40
537 449 88 155
538 898 29 431
541 811 59 99
542 932 20 303
542 869 22 412
544 838 51 313
546 439 41 229
546 219 78 285
548 63 22 86
548 361 22 244
548 825 70 358
549 631 47 273
550 739 66 316
551 207 95 338
552 600 16 150
553 997 90 346
555 813 98 168
555 293 35 408
559 30 60 122
559 877 92 139
560 82 13 105
560 741 60 468
563 701 41 333
564 675 29 328
564 166 92 333
564 65 95 408
564 21 28 427
564 913 49 460
565 686 60 358
566 411 16 99
568 69 44 163
571 488 48 418
573 353 13 271
579 743 87 383
580 553 36 196
583 610 98 105
583 680 64 440
584 567 34 241
584 233 18 261
585 474 78 483
586 145 83 363
587 687 57 376
588 185 100 328
591 120 53 223
593 465 42 89
595 553 70 309
595 195 97 375
599 746 24 445
600 661 54 269
602 782 85 309
606 771 31 434
608 166 11 230
608 115 40 409
610 736 94 219
613 378 86 265
614 762 34 401
615 890 90 231
618 678 15 240
620 435 41 240
620 679 29 312
623 29 27 447
624 621 91 294
626 802 54 110
626 270 29 147
627 971 45 89
637 733 51 88
637 473 35 124
638 833 77 201
640 887 86 322
641 705 98 383
641 887 53 458
642 897 64 121
642 293 48 477
644 54 18 74
645 271 18 184
650 441 12 58
651 513 57 464
653 82 32 82
653 342 94 325
656 964 38 380
657 409 68 367
661 212 98 414
663 315 19 353
665 178 51 68
665 390 41 432
666 603 99 148
666 864 43 399
667 136 48 213
667 994 40 374
668 617 15 52
668 890 92 350
668 181 30 361
668 659 72 381
672 439 34 406
673 639 21 224
673 601 99 427
674 385 35 482
676 740 81 150
683 140 51 88
684 247 53 283
684 77 60 301
684 176 34 412
685 803 75 120
686 636 10 113
688 673 78 198
691 742 59 347
693 428 75 260
697 776 11 239
699 735 20 50
699 50 47 216
699 485 79 261
700 496 21 324
700 766 39 398
703 285 91 391
704 915 50 148
705 526 33 452
707 69 55 357
710 944 78 351
714 300 46 199
716 136 46 188
716 289 65 466
719 52 60 443
720 380 66 115
720 154 20 169
722 408 78 359
726 899 20 180
728 306 19 28
730 112 83 257
730 736 85 428
734 166 16 32
737 474 38 329
740 646 92 253
741 187 38 244
742 439 77 92
742 565 52 127
742 460 63 172
743 167 79 329
743 870 42 333
743 928 35 359
747 437 83 458
753 136 40 50
756 216 33 418
758 976 97 196
759 691 95 178
764 769 49 173
766 733 27 332
773 307 33 95
777 976 37 272
786 972 60 438
788 614 14 367
788 676 88 376
789 674 11 55
789 637 38 238
791 909 56 322
791 141 64 408
796 295 44 453
802 673 89 499
807 760 28 210
807 511 71 443
809 786 42 446
810 599 97 328
813 513 87 218
814 319 30 89
815 470 30 130
817 414 60 211
818 339 65 252
819 61 87 175
820 623 34 196
822 986 66 201
824 225 95 140
825 50 23 200
825 622 63 331
826 222 27 50
827 423 66 184
828 477 60 206
828 756 55 382
832 578 12 39
833 487 74 157
840 781 42 146
844 376 82 89
845 650 26 375
846 392 21 191
848 402 93 147
849 835 34 481
850 303 65 130
852 82 68 160
853 467 13 297
854 767 58 172
856 637 19 282
858 698 70 250
859 393 38 72
861 444 42 74
862 545 56 97
862 465 79 384
863 394 24 109
863 982 86 131
863 693 85 361
868 117 21 351
869 398 93 429
870 713 41 381
876 290 55 498
880 988 25 367
881 257 90 93
881 223 62 312
882 318 16 230
882 237 87 279
883 399 90 384
884 190 18 349
884 854 100 394
886 855 32 90
887 807 59 329
888 487 26 161
888 737 74 481
896 708 31 482
899 509 100 284
901 800 11 487
902 899 94 464
903 477 97 366
904 979 72 351
905 130 79 163
906 117 97 291
908 157 18 62
908 486 69 394
912 807 47 212
913 975 23 457
918 502 11 430
919 288 45 194
919 473 50 460
920 890 19 175
921 484 40 138
921 476 51 219
924 11 94 131
924 27 73 443
924 534 90 448
926 613 76 392
929 554 49 73
931 798 79 399
932 401 43 156
934 279 88 194
935 798 54 101
949 861 13 100
953 741 95 216
953 415 48 222
957 221 57 135
963 60 19 142
963 628 72 164
966 559 34 106
966 338 60 319
967 314 49 261
969 835 12 287
970 832 62 381
973 928 31 166
973 520 57 188
973 468 35 287
979 244 38 452
980 237 63 296
981 603 60 398
982 133 18 95
985 284 35 153
985 500 87 354
986 700 35 217
986 725 100 424
987 452 65 171
991 799 31 351
992 458 65 475
994 59 14 22
995 781 64 152
996 895 38 457
998 978 20 71
1002 775 54 468
1005 730 67 240
1005 934 31 313
1008 517 51 215
1010 103 14 500
1013 204 52 382
1013 374 23 437
1014 322 10 248
1015 378 68 491
1017 16 49 378
1019 893 19 332
1021 516 21 194
1021 401 64 221
1021 819 94 370
1028 459 99 340
1031 152 74 237
1034 310 95 390
1035 951 29 359
1035 782 57 478
1040 403 16 82
1040 145 62 280
1041 697 47 403
1042 770 14 180
1042 44 36 276
1043 900 62 154
1047 394 49 56
1048 453 96 197
1048 551 23 260
1049 996 16 67
1051 694 71 415
1052 185 87 229
1053 75 53 66
1053 995 67 225
1056 938 80 415
1058 103 46 391
1060 812 13 92
1060 88 31 384
1060 576 70 492
1065 43 97 147
1066 106 23 229
1067 135 58 74
1069 935 17 237
1072 731 87 239
1072 14 33 498
1079 234 96 365
1081 591 23 306
1081 839 38 419
1084 55 95 192
1084 618 23 210
1085 465 62 326
1085 567 36 331
1086 293 91 288
1087 207 99 248
1088 403 90 315
1089 365 100 106
1089 294 93 151
1090 731 45 227
1091 14 61 156
1091 999 74 279
1091 635 60 309
1094 43 90 385
1095 124 15 236
1098 610 75 126
1105 384 77 433
1107 107 25 108
1110 375 43 223
1110 80 31 260
1111 173 58 260
1115 661 52 64
1115 303 68 68
1116 95 21 249
1119 747 49 171
1119 261 48 479
1123 437 54 170
1123 986 59 284
1125 157 74 171
1126 697 32 105
1133 659 35 92
1133 528 63 364
1137 908 35 78
1138 79 94 130
1139 751 91 166
1140 253 47 419
1142 280 52 489
1145 491 17 458
1148 615 13 464
1152 240 65 249
1153 377 70 395
1154 365 41 404
1157 799 14 329
1159 275 33 257
1162 219 20 57
1162 973 40 368
1164 373 58 138
1167 942 40 175
1168 481 32 349
1170 20 49 132
1173 588 36 195
1174 625 23 458
1177 890 15 59
1179 395 36 205
1181 336 92 145
1183 449 10 336
1185 452 17 222
1187 477 83 388
1188 74 37 168
1189 393 13 372
1190 531 87 155
1191 736 15 349
1194 59 47 162
1194 61 30 210
1195 660 87 295
1199 628 20 126
1199 687 39 284
1200 943 98 183
1201 474 28 168
1201 72 51 449
1203 320 36 439
1205 654 27 44
1205 163 20 49
1205 347 25 214
1205 399 58 494
1208 651 36 358
1213 498 52 204
1213 729 61 343
1216 757 11 281
1216 713 11 442
1223 343 59 95
1223 209 46 160
1225 249 20 152
1225 567 72 183
1226 83 98 112
1226 792 41 492
1227 691 91 243
1227 869 52 405
1227 289 66 417
1228 650 55 437
1228 11 71 490
1232 272 72 165
1233 901 37 65
1235 151 73 83
1236 970 47 354
1238 878 86 409
1239 351 87 114
1240 436 15 136
1243 262 60 151
1243 873 45 390
1244 188 41 319
1247 271 52 111
1249 702 39 118
1249 97 50 258
1251 990 16 404
1254 134 69 306
1255 953 81 294
1255 881 36 366
1256 535 98 451
1258 818 47 63
1261 459 63 426
1262 419 34 40
1262 312 35 354
1267 100 49 259
1268 324 68 222
1270 116 72 176
1271 296 95 104
1273 800 38 357
1274 816 67 211
1274 330 68 386
1276 789 43 477
1277 130 86 225
1278 61 62 373
1278 295 11 446
1280 759 56 375
1281 507 95 268
1282 171 54 195
1284 536 40 453
1285 847 62 393
1288 329 38 110
1290 146 58 174
1291 347 30 154
1292 225 54 182
1293 332 86 99
1293 546 14 209
1294 459 37 238
1299 567 50 233
1300 492 55 121
1302 643 70 141
1304 794 42 295
1304 454 43 457
1307 835 54 247
1308 810 32 126
1309 511 89 365
1310 98 72 261
1310 19 91 283
1311 664 11 128
1316 28 29 57
1321 768 15 449
1322 675 10 15
1322 356 44 421
1324 522 59 351
1324 719 70 497
1325 823 87 130
1327 773 10 457
1331 706 33 61
1331 365 49 178
1335 474 81 150
1336 74 37 118
1337 611 91 310
1338 887 67 415
1339 858 81 123
1339 264 39 421
1341 362 21 174
1345 389 72 105
1346 805 68 160
1348 924 93 443
1349 63 44 145
1350 87 25 185
1357 336 39 345
1358 615 54 329
1359 322 46 292
1360 107 86 138
1362 753 59 173
1365 462 10 182
1367 427 39 332
1371 994 24 26
1371 481 42 127
1371 889 95 256
1371 510 90 335
1374 566 63 199
1375 674 22 488
1377 216 73 479
1378 448 53 254
1378 61 67 357
1378 721 48 401
1378 567 93 464
1381 274 50 57
1382 784 58 407
1382 682 62 412
1384 190 60 203
1385 721 41 57
1388 34 40 61
1389 719 57 69
1391 664 75 176
1391 685 17 303
1393 880 34 325
1394 372 54 459
1397 991 93 244
1401 23 53 130
1403 891 71 72
1408 569 17 229
1408 515 27 335
1412 302 92 107
1412 567 16 157
1412 631 29 282
1413 327 32 394
1414 34 46 441
1415 244 69 75
1417 743 74 485
1419 650 61 315
1420 876 42 114
1420 678 70 297
1423 823 10 24
1423 263 94 245
1423 159 57 346
1424 878 28 481
1428 677 76 90
1428 582 11 320
1429 416 59 128
1434 421 71 295
1434 313 77 348
1435 308 66 324
1439 111 73 400
1440 223 55 255
1440 730 12 342
1442 90 100 220
1443 967 50 291
1448 677 18 333
1449 707 67 268
1450 865 30 151
1457 349 41 241
1458 703 33 251
1459 449 40 461
1460 962 60 306
1463 802 90 462
1465 282 13 28
1466 887 63 253
1467 195 54 223
1472 110 54 211
1474 945 81 256
1475 209 84 202
1478 54 14 454
1479 360 61 427
1481 801 57 211
1484 67 45 95
1484 500 42 291
1485 151 22 69
1485 411 75 185
1486 462 27 352
1487 835 88 223
1488 35 43 334
1488 399 42 343
1490 36 70 402
1491 310 32 458
1494 265 94 382
1495 993 71 106
1496 429 18 155
1498 136 74 172
1498 62 51 476
1500 713 66 239
1501 822 48 131
1502 469 97 267
1505 829 55 157
1505 955 73 244
1505 658 96 347
1505 290 10 364
1506 718 90 443
1508 825 32 260
1510 558 92 500
1511 804 14 43
1511 490 78 271
1514 53 39 201
1515 83 62 291
1515 165 32 396
1516 308 75 162
1516 156 40 444
1517 330 80 335
1518 385 49 79
1518 565 32 443
1519 256 94 394
1520 10 48 81
1520 367 31 110
1520 296 73 255
1521 908 90 452
1523 184 49 487
1525 787 37 114
1529 567 100 131
1529 232 97 352
1529 825 19 437
1534 365 43 232
1534 825 87 420
1535 760 43 407
1536 688 67 96
1537 26 69 212
1537 932 72 490
1540 867 47 288
1542 772 14 161
1543 937 27 52
1544 692 68 181
1546 562 55 296
1551 964 78 229
1552 811 70 310
1552 945 99 428
1562 657 17 235
1564 287 34 457
1565 967 86 414
1567 976 87 226
1568 831 33 94
1568 807 55 202
1569 602 17 196
1569 532 34 424
1570 608 71 83
1573 219 85 473
1574 364 80 282
1574 297 65 408
1577 442 48 252
1578 807 47 71
1578 400 92 354
1583 110 78 446
1588 634 72 114
1591 663 32 273
1591 936 65 387
1597 301 61 479
1598 859 66 79
1600 466 100 190
1600 243 43 417
1603 724 60 60
1605 860 18 332
1607 70 19 184
1609 129 61 93
1609 535 92 399
1611 426 40 73
1612 983 94 322
1614 842 79 145
1618 921 17 17
1618 124 78 208
1619 673 87 433
1620 784 52 155
1623 898 60 468
1624 509 89 400
1627 844 67 122
1629 939 85 278
1629 93 72 291
1630 371 18 153
1632 112 81 331
1634 403 72 89
1634 850 47 457
1635 303 21 71
1645 541 19 156
1649 971 83 383
1650 437 57 61
1650 178 76 383
1651 626 34 248
1654 510 58 400
1655 689 80 243
1656 304 68 465
1657 465 16 231
1657 761 49 387
1659 425 16 46
1660 429 13 181
1663 339 45 108
1664 302 56 146
1664 391 92 314
1664 406 80 448
1670 864 75 479
1671 328 39 192
1674 185 17 99
1674 135 32 213
1676 517 40 265
1676 609 85 477
1680 43 31 462
1680 98 36 487
1681 96 10 341
1682 500 89 136
1687 709 63 498
1689 690 30 374
1691 466 71 218
1692 929 72 298
1693 386 74 153
1695 691 93 199
1696 251 99 372
1697 167 38 281
1697 492 44 297
1698 16 14 341
1699 762 65 315
1701 291 60 226
1704 700 63 380
1704 91 47 448
1706 180 65 396
1710 63 47 130
1710 988 54 266
1714 717 92 209
1714 866 89 334
1727 299 97 490
1728 677 93 159
1730 535 59 351
1731 469 14 70
1732 706 95 290
1733 640 92 398
1735 528 25 244
1736 519 12 150
1736 910 71 386
1738 995 15 30
1739 550 54 173
1739 271 76 225
1740 802 83 113
1740 959 76 153
1741 913 14 239
1744 886 19 349
1744 994 56 443
1750 629 35 389
1751 635 89 268
1755 68 46 120
1755 135 51 392
1757 447 86 90
1758 428 80 494
1760 854 92 471
1761 779 41 83
1762 269 99 153
1762 433 91 210
1763 438 51 109
1763 661 49 246
1764 77 29 248
1767 561 77 498
1769 557 29 346
1773 15 17 256
1773 705 55 446
1777 14 38 166
1778 641 88 175
1778 512 67 494
1779 805 11 16
1781 616 40 208
1785 296 45 226
1786 594 36 430
1793 989 91 397
1794 916 46 102
1794 992 23 356
1794 662 53 360
1795 658 13 128
1795 977 23 460
1796 56 14 282
1799 889 95 225
1799 257 13 392
1800 41 71 96
1801 542 35 172
1802 199 29 98
1803 817 18 292
1803 150 43 321
1804 533 11 33
1805 420 51 238
1805 923 74 473
1807 727 41 489
1808 199 48 328
1808 356 36 407
1808 165 75 451
1809 930 94 219
1810 170 22 121
1810 665 70 305
1816 204 21 229
1818 244 40 78
1818 855 31 411
1821 111 53 102
1824 353 61 140
1825 591 13 194
1825 940 32 264
1825 851 26 410
1828 743 78 101
